id_solicitante,inadimplente
23184,1
21072,1
22641,1
22283,1
21596,0
24457,1
23353,1
23391,1
23432,0
20299,1
20137,0
22570,0
20144,1
23357,0
21947,0
21558,1
22812,1
20030,1
22450,0
20192,1
22117,1
20421,0
20048,1
22004,0
24999,1
22511,1
22772,0
20476,0
24439,1
21551,1
20604,0
24357,1
24555,0
23973,1
24385,0
23979,0
23408,1
22350,1
23014,0
21381,1
21831,0
21242,1
21085,0
24371,1
23475,1
23073,0
21458,1
21819,0
24292,0
24264,1
24826,0
22489,0
24901,1
24472,0
21559,0
21745,1
21485,1
22220,0
24772,1
24419,0
24849,1
22408,0
21350,0
23779,0
22827,0
24693,0
21957,0
24687,0
23900,0
21179,0
20699,0
20256,1
20752,0
21630,1
20116,1
20672,1
23645,0
21213,0
23222,1
20754,0
22042,0
22516,1
21379,0
21457,0
21886,0
24945,1
23070,0
23346,0
20380,1
20025,1
22219,0
21032,1
21266,0
24477,1
24403,1
22778,0
20416,1
21117,0
20373,0
22557,1
23931,1
24961,0
20167,0
20649,1
24506,0
20526,1
20027,1
22680,0
20553,0
20443,1
21931,1
23243,1
24695,0
24930,0
22331,0
23965,1
22098,1
20994,1
21454,0
20736,1
24202,1
23363,0
22239,0
21014,0
24899,1
23802,0
21632,1
21707,0
21856,1
24120,0
24632,1
23851,0
20227,1
24968,0
21651,1
20303,0
20102,1
20838,0
23513,1
24496,1
22687,0
22167,1
24964,1
23762,0
21522,0
23044,1
21560,0
23595,1
24198,1
20943,1
24608,0
23765,0
22206,1
23004,0
23768,0
23955,1
20954,1
23592,0
21637,1
22658,1
24480,0
20187,0
22472,0
23754,1
24324,0
23721,1
22644,1
23387,1
20337,0
20920,1
22503,1
24735,1
20475,0
23017,1
23335,0
21996,0
21351,1
22672,0
22202,0
21500,0
20324,1
20034,0
23570,1
20684,0
22809,1
20140,1
22499,1
21372,1
24002,1
20543,0
21168,1
23776,1
21216,0
21932,0
22589,0
20433,1
21832,0
24384,0
24887,0
23450,0
20029,0
23063,1
23887,1
23148,1
20139,0
22770,0
20907,1
20401,1
22481,0
23099,1
24501,0
23725,1
20346,0
24895,1
21092,1
23598,0
24984,0
20968,1
22773,0
23615,0
23083,1
23248,1
24513,1
22384,1
24084,0
21129,1
20675,0
21919,0
20512,1
24485,1
20486,0
21698,0
22914,1
20155,1
20082,0
22287,0
23087,0
22955,1
21972,1
24293,1
20948,1
20241,0
21481,1
22003,1
23281,1
23677,1
21930,1
21172,0
20815,1
22653,1
20096,1
20424,0
21058,1
22081,0
23332,1
20415,0
21434,1
23426,0
22423,0
23813,1
24086,1
24878,0
24013,1
22551,0
20425,0
22538,1
22144,1
21395,0
22671,0
21781,1
24981,1
22789,1
22808,1
23539,1
22721,1
22011,1
22102,1
23103,1
20764,1
23389,1
24896,1
24163,0
21803,1
22931,1
21771,0
23289,1
23988,0
22541,1
22019,1
24900,0
